ROI SUVR plotrois hemi label SUVR_above_reference predictedYearsBeforepredAB
CTX_LH_PARSORBITALIS_SUVR 1.0077144598674 lh_parsorbitalis left lh_parsorbitalis 1.0077144598674 3
CTX_LH_PARSTRIANGULARIS_SUVR 1.07276039973324 lh_parstriangularis left lh_parstriangularis 1.07276039973324 3
CTX_LH_PERICALCARINE_SUVR 1.20910028434338 lh_pericalcarine left lh_pericalcarine 1.20910028434338 3
CTX_LH_POSTCENTRAL_SUVR 0.999477272115098 lh_postcentral left lh_postcentral NA 3
CTX_LH_POSTERIORCINGULATE_SUVR 1.13804269143623 lh_posteriorcingulate left lh_posteriorcingulate 1.13804269143623 3
CTX_LH_PRECENTRAL_SUVR 1.0661370577755 lh_precentral left lh_precentral 1.0661370577755 3
CTX_LH_PRECUNEUS_SUVR 1.11070604025878 lh_precuneus left lh_precuneus 1.11070604025878 3
CTX_LH_ROSTRALANTERIORCINGULATE_SUVR 1.07624299733518 lh_rostralanteriorcingulate left lh_rostralanteriorcingulate 1.07624299733518 3
CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR 1.03972994534979 lh_rostralmiddlefrontal left lh_rostralmiddlefrontal 1.03972994534979 3
CTX_LH_SUPERIORFRONTAL_SUVR 1.00361319708352 lh_superiorfrontal left lh_superiorfrontal 1.00361319708352 3
CTX_LH_SUPERIORPARIETAL_SUVR 1.0310106694188 lh_superiorparietal left lh_superiorparietal 1.0310106694188 3
CTX_LH_SUPERIORTEMPORAL_SUVR 0.985182415297474 lh_superiortemporal left lh_superiortemporal NA 3
CTX_LH_SUPRAMARGINAL_SUVR 1.06361451016926 lh_supramarginal left lh_supramarginal 1.06361451016926 3
CTX_LH_TEMPORALPOLE_SUVR 0.905596321757612 lh_temporalpole left lh_temporalpole NA 3
CTX_LH_TRANSVERSETEMPORAL_SUVR 1.04117380184901 lh_transversetemporal left lh_transversetemporal 1.04117380184901 3
CTX_RH_BANKSSTS_SUVR 1.20809783347643 rh_bankssts right rh_bankssts 1.20809783347643 3
CTX_RH_CAUDALANTERIORCINGULATE_SUVR 1.10412580885807 rh_caudalanteriorcingulate right rh_caudalanteriorcingulate 1.10412580885807 3
CTX_RH_CAUDALMIDDLEFRONTAL_SUVR 1.05577156255217 rh_caudalmiddlefrontal right rh_caudalmiddlefrontal 1.05577156255217 3
CTX_RH_CUNEUS_SUVR 1.05956276081099 rh_cuneus right rh_cuneus 1.05956276081099 3
CTX_RH_ENTORHINAL_SUVR 0.884754740773384 rh_entorhinal right rh_entorhinal NA 3
CTX_RH_FRONTALPOLE_SUVR 0.87864706783501 rh_frontalpole right rh_frontalpole NA 3
CTX_RH_FUSIFORM_SUVR 1.03918217138897 rh_fusiform right rh_fusiform 1.03918217138897 3
CTX_RH_INFERIORPARIETAL_SUVR 1.05472642002547 rh_inferiorparietal right rh_inferiorparietal 1.05472642002547 3
CTX_RH_INFERIORTEMPORAL_SUVR 1.01453499653797 rh_inferiortemporal right rh_inferiortemporal 1.01453499653797 3
CTX_RH_INSULA_SUVR 1.00463708977899 rh_insula right rh_insula 1.00463708977899 3
CTX_RH_ISTHMUSCINGULATE_SUVR 1.13341839141574 rh_isthmuscingulate right rh_isthmuscingulate 1.13341839141574 3
CTX_RH_LATERALOCCIPITAL_SUVR 1.05566329395362 rh_lateraloccipital right rh_lateraloccipital 1.05566329395362 3
CTX_RH_LATERALORBITOFRONTAL_SUVR 1.08999919422242 rh_lateralorbitofrontal right rh_lateralorbitofrontal 1.08999919422242 3
CTX_RH_LINGUAL_SUVR 1.00256582024307 rh_lingual right rh_lingual 1.00256582024307 3
CTX_RH_MEDIALORBITOFRONTAL_SUVR 1.01907488711433 rh_medialorbitofrontal right rh_medialorbitofrontal 1.01907488711433 3
CTX_RH_MIDDLETEMPORAL_SUVR 0.99245632176665 rh_middletemporal right rh_middletemporal NA 3
CTX_RH_PARACENTRAL_SUVR 1.08359401069809 rh_paracentral right rh_paracentral 1.08359401069809 3
CTX_RH_PARAHIPPOCAMPAL_SUVR 0.950045643992313 rh_parahippocampal right rh_parahippocampal NA 3
CTX_RH_PARSOPERCULARIS_SUVR 1.07083271574818 rh_parsopercularis right rh_parsopercularis 1.07083271574818 3
CTX_RH_PARSORBITALIS_SUVR 1.02421676426167 rh_parsorbitalis right rh_parsorbitalis 1.02421676426167 3
CTX_RH_PARSTRIANGULARIS_SUVR 1.06185353342844 rh_parstriangularis right rh_parstriangularis 1.06185353342844 3
CTX_RH_PERICALCARINE_SUVR 1.15974778983719 rh_pericalcarine right rh_pericalcarine 1.15974778983719 3
CTX_RH_POSTCENTRAL_SUVR 0.994334599371693 rh_postcentral right rh_postcentral NA 3
CTX_RH_POSTERIORCINGULATE_SUVR 1.11876817177861 rh_posteriorcingulate right rh_posteriorcingulate 1.11876817177861 3
CTX_RH_PRECENTRAL_SUVR 1.06566058624899 rh_precentral right rh_precentral 1.06566058624899 3
CTX_RH_PRECUNEUS_SUVR 1.09885399031541 rh_precuneus right rh_precuneus 1.09885399031541 3
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR 1.08241670372649 rh_rostralanteriorcingulate right rh_rostralanteriorcingulate 1.08241670372649 3
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR 1.04511362412292 rh_rostralmiddlefrontal right rh_rostralmiddlefrontal 1.04511362412292 3
CTX_RH_SUPERIORFRONTAL_SUVR 1.00224767703199 rh_superiorfrontal right rh_superiorfrontal 1.00224767703199 3
CTX_RH_SUPERIORPARIETAL_SUVR 1.00969542195871 rh_superiorparietal right rh_superiorparietal 1.00969542195871 3
CTX_RH_SUPERIORTEMPORAL_SUVR 0.968434557631968 rh_superiortemporal right rh_superiortemporal NA 3
CTX_RH_SUPRAMARGINAL_SUVR 1.04377404618416 rh_supramarginal right rh_supramarginal 1.04377404618416 3
CTX_RH_TEMPORALPOLE_SUVR 0.892970938281402 rh_temporalpole right rh_temporalpole NA 3
CTX_RH_TRANSVERSETEMPORAL_SUVR 1.00951617911988 rh_transversetemporal right rh_transversetemporal 1.00951617911988 3
CTX_LH_BANKSSTS_SUVR 1.18268295961759 lh_bankssts left lh_bankssts 1.18268295961759 4
CTX_LH_CAUDALANTERIORCINGULATE_SUVR 1.10748169320442 lh_caudalanteriorcingulate left lh_caudalanteriorcingulate 1.10748169320442 4
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR 1.05245442229163 lh_caudalmiddlefrontal left lh_caudalmiddlefrontal 1.05245442229163 4
CTX_LH_CUNEUS_SUVR 1.07283380229058 lh_cuneus left lh_cuneus 1.07283380229058 4
CTX_LH_ENTORHINAL_SUVR 0.879940276081349 lh_entorhinal left lh_entorhinal NA 4
CTX_LH_FRONTALPOLE_SUVR 0.813491069063755 lh_frontalpole left lh_frontalpole NA 4
CTX_LH_FUSIFORM_SUVR 1.04757132160451 lh_fusiform left lh_fusiform 1.04757132160451 4
CTX_LH_INFERIORPARIETAL_SUVR 1.04734128899262 lh_inferiorparietal left lh_inferiorparietal 1.04734128899262 4
CTX_LH_INFERIORTEMPORAL_SUVR 1.01233063589331 lh_inferiortemporal left lh_inferiortemporal 1.01233063589331 4
CTX_LH_INSULA_SUVR 0.991045930481858 lh_insula left lh_insula NA 4
CTX_LH_ISTHMUSCINGULATE_SUVR 1.1140596265289 lh_isthmuscingulate left lh_isthmuscingulate 1.1140596265289 4
CTX_LH_LATERALOCCIPITAL_SUVR 1.05722598540736 lh_lateraloccipital left lh_lateraloccipital 1.05722598540736 4
CTX_LH_LATERALORBITOFRONTAL_SUVR 1.06403136517095 lh_lateralorbitofrontal left lh_lateralorbitofrontal 1.06403136517095 4
CTX_LH_LINGUAL_SUVR 1.01390203907838 lh_lingual left lh_lingual 1.01390203907838 4
CTX_LH_MEDIALORBITOFRONTAL_SUVR 0.976874714914355 lh_medialorbitofrontal left lh_medialorbitofrontal NA 4
CTX_LH_MIDDLETEMPORAL_SUVR 0.965755867591185 lh_middletemporal left lh_middletemporal NA 4
CTX_LH_PARACENTRAL_SUVR 1.06954232347417 lh_paracentral left lh_paracentral 1.06954232347417 4
CTX_LH_PARAHIPPOCAMPAL_SUVR 0.927464626323764 lh_parahippocampal left lh_parahippocampal NA 4
CTX_LH_PARSOPERCULARIS_SUVR 1.02570705316918 lh_parsopercularis left lh_parsopercularis 1.02570705316918 4
CTX_LH_PARSORBITALIS_SUVR 0.980676850362973 lh_parsorbitalis left lh_parsorbitalis NA 4
